2025-10-25 01:58:44 | SUCCESS  | 📄 Logger inicializado correctamente.
2025-10-25 02:04:39 | ERROR    | ❌ Error conectando a Redis: module 'app.config.settings' has no attribute 'REDIS_HOST'
2025-10-25 02:04:39 | ERROR    | ❌ Fallo en el arranque: module 'app.config.settings' has no attribute 'REDIS_HOST'
2025-10-25 02:04:57 | SUCCESS  | 📄 Logger inicializado correctamente.
2025-10-25 02:04:57 | INFO     | 🚀 Iniciando AI_EvolutionX Platform...
2025-10-25 02:04:57 | INFO     | 🔌 Conectando a MongoDB...
2025-10-25 02:04:57 | INFO     | ✅ Índices MongoDB creados correctamente.
2025-10-25 02:04:57 | SUCCESS  | ✅ MongoDB conectado: mongodb://localhost:27017
2025-10-25 02:04:57 | ERROR    | ❌ Error conectando a Redis: module 'app.config.settings' has no attribute 'REDIS_HOST'
2025-10-25 02:04:57 | ERROR    | ❌ Fallo en el arranque: module 'app.config.settings' has no attribute 'REDIS_HOST'
2025-10-25 02:06:30 | SUCCESS  | 📄 Logger inicializado correctamente.
2025-10-25 02:06:30 | INFO     | 🚀 Iniciando AI_EvolutionX Platform...
2025-10-25 02:06:30 | INFO     | 🔌 Conectando a MongoDB...
2025-10-25 02:06:30 | INFO     | ✅ Índices MongoDB creados correctamente.
2025-10-25 02:06:30 | SUCCESS  | ✅ MongoDB conectado: mongodb://localhost:27017
2025-10-25 02:06:30 | INFO     | 🔌 Conectando a Redis...
2025-10-25 02:06:30 | SUCCESS  | ✅ Redis conectado: localhost:6379
2025-10-25 02:06:30 | INFO     | 🔍 Buscando servidor Ollama activo...
2025-10-25 02:06:30 | SUCCESS  | ✅ Conectado a Ollama LAN (http://192.168.50.123:11434) (latencia: 0.00s)
2025-10-25 02:06:30 | INFO     | ✅ Backend corriendo en http://0.0.0.0:8000
2025-10-25 02:06:30 | INFO     | 📡 Ollama LAN: http://192.168.50.123:11434
2025-10-25 02:06:30 | INFO     | 🌐 Ollama WAN: http://iaevolutionxm.asuscomm.com:11434
2025-10-25 02:06:30 | INFO     | 🗄️  MongoDB: mongodb://localhost:27017
2025-10-25 02:06:30 | INFO     | 💾 Redis: localhost:6379
2025-10-25 02:06:30 | INFO     | 🤖 Auto-training habilitado
2025-10-25 02:07:34 | INFO     | 🛑 Cerrando servicios...
2025-10-25 02:07:34 | INFO     | ✅ MongoDB desconectado correctamente.
2025-10-25 02:07:34 | INFO     | ✅ Redis desconectado correctamente.
2025-10-25 02:07:34 | INFO     | ✅ Apagado completo.
2025-10-25 02:07:35 | SUCCESS  | 📄 Logger inicializado correctamente.
2025-10-25 02:07:35 | INFO     | 🚀 Iniciando AI_EvolutionX Platform...
2025-10-25 02:07:35 | INFO     | 🔌 Conectando a MongoDB...
2025-10-25 02:07:35 | INFO     | ✅ Índices MongoDB creados correctamente.
2025-10-25 02:07:35 | SUCCESS  | ✅ MongoDB conectado: mongodb://localhost:27017
2025-10-25 02:07:35 | INFO     | 🔌 Conectando a Redis...
2025-10-25 02:07:35 | SUCCESS  | ✅ Redis conectado: localhost:6379
2025-10-25 02:07:35 | INFO     | 🔍 Buscando servidor Ollama activo...
2025-10-25 02:07:35 | SUCCESS  | ✅ Conectado a Ollama LAN (http://192.168.50.123:11434) (latencia: 0.00s)
2025-10-25 02:07:35 | INFO     | ✅ Backend corriendo en http://0.0.0.0:8000
2025-10-25 02:07:35 | INFO     | 📡 Ollama LAN: http://192.168.50.123:11434
2025-10-25 02:07:35 | INFO     | 🌐 Ollama WAN: http://iaevolutionxm.asuscomm.com:11434
2025-10-25 02:07:35 | INFO     | 🗄️  MongoDB: mongodb://localhost:27017
2025-10-25 02:07:35 | INFO     | 💾 Redis: localhost:6379
2025-10-25 02:07:35 | INFO     | 🤖 Auto-training habilitado
2025-10-25 02:07:45 | INFO     | 🛑 Cerrando servicios...
2025-10-25 02:07:45 | INFO     | ✅ MongoDB desconectado correctamente.
2025-10-25 02:07:45 | INFO     | ✅ Redis desconectado correctamente.
2025-10-25 02:07:45 | INFO     | ✅ Apagado completo.
2025-10-25 02:08:05 | SUCCESS  | 📄 Logger inicializado correctamente.
2025-10-25 02:08:05 | INFO     | 🚀 Iniciando AI_EvolutionX Platform...
2025-10-25 02:08:05 | INFO     | 🔌 Conectando a MongoDB...
2025-10-25 02:08:05 | INFO     | ✅ Índices MongoDB creados correctamente.
2025-10-25 02:08:05 | SUCCESS  | ✅ MongoDB conectado: mongodb://localhost:27017
2025-10-25 02:08:05 | INFO     | 🔌 Conectando a Redis...
2025-10-25 02:08:05 | SUCCESS  | ✅ Redis conectado: localhost:6379
2025-10-25 02:08:05 | INFO     | 🔍 Buscando servidor Ollama activo...
2025-10-25 02:08:05 | SUCCESS  | ✅ Conectado a Ollama LAN (http://192.168.50.123:11434) (latencia: 0.00s)
2025-10-25 02:08:05 | INFO     | ✅ Backend corriendo en http://0.0.0.0:8000
2025-10-25 02:08:05 | INFO     | 📡 Ollama LAN: http://192.168.50.123:11434
2025-10-25 02:08:05 | INFO     | 🌐 Ollama WAN: http://iaevolutionxm.asuscomm.com:11434
2025-10-25 02:08:05 | INFO     | 🗄️  MongoDB: mongodb://localhost:27017
2025-10-25 02:08:05 | INFO     | 💾 Redis: localhost:6379
2025-10-25 02:08:05 | INFO     | 🤖 Auto-training habilitado
2025-10-25 02:09:09 | DEBUG    | 🧠 Enviando solicitud a Ollama: {'model': 'llama3.1:8b-text-q8_0', 'messages': [{'role': 'user', 'content': 'hola como estas '}], 'stream': False, 'options': {'temperature': 0.7, 'num_predict': 2048}}
2025-10-25 02:09:14 | WARNING  | ⚠️ Timeout con Ollama. Reintentando...
2025-10-25 02:09:14 | INFO     | 🔍 Buscando servidor Ollama activo...
2025-10-25 02:09:14 | SUCCESS  | ✅ Conectado a Ollama LAN (http://192.168.50.123:11434) (latencia: 0.00s)
2025-10-25 02:09:16 | DEBUG    | 🧠 Enviando solicitud a Ollama: {'model': 'llama3.1:8b-text-q8_0', 'messages': [{'role': 'user', 'content': 'hola como estas '}], 'stream': False, 'options': {'temperature': 0.7, 'num_predict': 2048}}
2025-10-25 02:09:21 | WARNING  | ⚠️ Timeout con Ollama. Reintentando...
2025-10-25 02:09:23 | DEBUG    | 🧠 Enviando solicitud a Ollama: {'model': 'llama3.1:8b-text-q8_0', 'messages': [{'role': 'user', 'content': 'hola como estas '}], 'stream': False, 'options': {'temperature': 0.7, 'num_predict': 2048}}
2025-10-25 02:09:28 | WARNING  | ⚠️ Timeout con Ollama. Reintentando...
2025-10-25 02:09:30 | DEBUG    | 🧠 Enviando solicitud a Ollama: {'model': 'llama3.1:8b-text-q8_0', 'messages': [{'role': 'user', 'content': 'hola como estas '}], 'stream': False, 'options': {'temperature': 0.7, 'num_predict': 2048}}
2025-10-25 02:09:35 | WARNING  | ⚠️ Timeout con Ollama. Reintentando...
2025-10-25 02:09:38 | DEBUG    | 🧠 Enviando solicitud a Ollama: {'model': 'llama3.1:8b-text-q8_0', 'messages': [{'role': 'user', 'content': 'hola como estas '}], 'stream': False, 'options': {'temperature': 0.7, 'num_predict': 2048}}
2025-10-25 02:10:12 | DEBUG    | 🧠 Enviando solicitud a Ollama: {'model': 'deepseek-r1:14b', 'messages': [{'role': 'user', 'content': 'hola como estas '}, {'role': 'assistant', 'content': "2\nI know you're a little upset right now, but I promise that everything will be fine. It won't take long for us to forget about what happened and move on.\nWe can still have fun together without thinking about the past. Just let me know when you're ready to talk again.\nYou've been through a lot lately, so it's understandable if you need some time alone to process everything. But please don't stay away too long; I miss hearing your voice every day!\nI want us to go back to how we were before all this mess happened between us two. Let me know when you're ready to talk again and start over from scratch.\nYou're my best friend, and I love you more than anything else in the world. Don't forget that no matter what happens between us, nothing will change our friendship or the way we feel about each other."}, {'role': 'user', 'content': 'hola como estas '}], 'stream': False, 'options': {'temperature': 0.7, 'num_predict': 2048}}
2025-10-25 02:10:17 | WARNING  | ⚠️ Timeout con Ollama. Reintentando...
2025-10-25 02:10:17 | INFO     | 🔍 Buscando servidor Ollama activo...
2025-10-25 02:10:17 | SUCCESS  | ✅ Conectado a Ollama LAN (http://192.168.50.123:11434) (latencia: 0.00s)
2025-10-25 02:10:19 | DEBUG    | 🧠 Enviando solicitud a Ollama: {'model': 'deepseek-r1:14b', 'messages': [{'role': 'user', 'content': 'hola como estas '}, {'role': 'assistant', 'content': "2\nI know you're a little upset right now, but I promise that everything will be fine. It won't take long for us to forget about what happened and move on.\nWe can still have fun together without thinking about the past. Just let me know when you're ready to talk again.\nYou've been through a lot lately, so it's understandable if you need some time alone to process everything. But please don't stay away too long; I miss hearing your voice every day!\nI want us to go back to how we were before all this mess happened between us two. Let me know when you're ready to talk again and start over from scratch.\nYou're my best friend, and I love you more than anything else in the world. Don't forget that no matter what happens between us, nothing will change our friendship or the way we feel about each other."}, {'role': 'user', 'content': 'hola como estas '}], 'stream': False, 'options': {'temperature': 0.7, 'num_predict': 2048}}
2025-10-25 02:12:53 | DEBUG    | 🧠 Enviando solicitud a Ollama: {'model': 'deepseek-r1:14b', 'messages': [{'role': 'user', 'content': 'hola como estas '}, {'role': 'assistant', 'content': "2\nI know you're a little upset right now, but I promise that everything will be fine. It won't take long for us to forget about what happened and move on.\nWe can still have fun together without thinking about the past. Just let me know when you're ready to talk again.\nYou've been through a lot lately, so it's understandable if you need some time alone to process everything. But please don't stay away too long; I miss hearing your voice every day!\nI want us to go back to how we were before all this mess happened between us two. Let me know when you're ready to talk again and start over from scratch.\nYou're my best friend, and I love you more than anything else in the world. Don't forget that no matter what happens between us, nothing will change our friendship or the way we feel about each other."}, {'role': 'user', 'content': 'hola como estas '}, {'role': 'assistant', 'content': '¡Hola! Estoy bien, gracias. ¿Y tú? ¿Hay algo en particular que quieras hablar o de lo que necesites ayuda hoy?'}, {'role': 'user', 'content': 'quiero saber que saber hacer '}], 'stream': False, 'options': {'temperature': 0.7, 'num_predict': 2048}}
2025-10-25 02:12:58 | WARNING  | ⚠️ Timeout con Ollama. Reintentando...
2025-10-25 02:12:58 | INFO     | 🔍 Buscando servidor Ollama activo...
2025-10-25 02:12:58 | SUCCESS  | ✅ Conectado a Ollama LAN (http://192.168.50.123:11434) (latencia: 0.00s)
2025-10-25 02:13:00 | DEBUG    | 🧠 Enviando solicitud a Ollama: {'model': 'deepseek-r1:14b', 'messages': [{'role': 'user', 'content': 'hola como estas '}, {'role': 'assistant', 'content': "2\nI know you're a little upset right now, but I promise that everything will be fine. It won't take long for us to forget about what happened and move on.\nWe can still have fun together without thinking about the past. Just let me know when you're ready to talk again.\nYou've been through a lot lately, so it's understandable if you need some time alone to process everything. But please don't stay away too long; I miss hearing your voice every day!\nI want us to go back to how we were before all this mess happened between us two. Let me know when you're ready to talk again and start over from scratch.\nYou're my best friend, and I love you more than anything else in the world. Don't forget that no matter what happens between us, nothing will change our friendship or the way we feel about each other."}, {'role': 'user', 'content': 'hola como estas '}, {'role': 'assistant', 'content': '¡Hola! Estoy bien, gracias. ¿Y tú? ¿Hay algo en particular que quieras hablar o de lo que necesites ayuda hoy?'}, {'role': 'user', 'content': 'quiero saber que saber hacer '}], 'stream': False, 'options': {'temperature': 0.7, 'num_predict': 2048}}
2025-10-25 02:13:05 | WARNING  | ⚠️ Timeout con Ollama. Reintentando...
2025-10-25 02:13:07 | DEBUG    | 🧠 Enviando solicitud a Ollama: {'model': 'deepseek-r1:14b', 'messages': [{'role': 'user', 'content': 'hola como estas '}, {'role': 'assistant', 'content': "2\nI know you're a little upset right now, but I promise that everything will be fine. It won't take long for us to forget about what happened and move on.\nWe can still have fun together without thinking about the past. Just let me know when you're ready to talk again.\nYou've been through a lot lately, so it's understandable if you need some time alone to process everything. But please don't stay away too long; I miss hearing your voice every day!\nI want us to go back to how we were before all this mess happened between us two. Let me know when you're ready to talk again and start over from scratch.\nYou're my best friend, and I love you more than anything else in the world. Don't forget that no matter what happens between us, nothing will change our friendship or the way we feel about each other."}, {'role': 'user', 'content': 'hola como estas '}, {'role': 'assistant', 'content': '¡Hola! Estoy bien, gracias. ¿Y tú? ¿Hay algo en particular que quieras hablar o de lo que necesites ayuda hoy?'}, {'role': 'user', 'content': 'quiero saber que saber hacer '}], 'stream': False, 'options': {'temperature': 0.7, 'num_predict': 2048}}
2025-10-25 02:13:12 | WARNING  | ⚠️ Timeout con Ollama. Reintentando...
2025-10-25 02:13:14 | DEBUG    | 🧠 Enviando solicitud a Ollama: {'model': 'deepseek-r1:14b', 'messages': [{'role': 'user', 'content': 'hola como estas '}, {'role': 'assistant', 'content': "2\nI know you're a little upset right now, but I promise that everything will be fine. It won't take long for us to forget about what happened and move on.\nWe can still have fun together without thinking about the past. Just let me know when you're ready to talk again.\nYou've been through a lot lately, so it's understandable if you need some time alone to process everything. But please don't stay away too long; I miss hearing your voice every day!\nI want us to go back to how we were before all this mess happened between us two. Let me know when you're ready to talk again and start over from scratch.\nYou're my best friend, and I love you more than anything else in the world. Don't forget that no matter what happens between us, nothing will change our friendship or the way we feel about each other."}, {'role': 'user', 'content': 'hola como estas '}, {'role': 'assistant', 'content': '¡Hola! Estoy bien, gracias. ¿Y tú? ¿Hay algo en particular que quieras hablar o de lo que necesites ayuda hoy?'}, {'role': 'user', 'content': 'quiero saber que saber hacer '}], 'stream': False, 'options': {'temperature': 0.7, 'num_predict': 2048}}
2025-10-25 02:13:19 | WARNING  | ⚠️ Timeout con Ollama. Reintentando...
2025-10-25 02:13:21 | DEBUG    | 🧠 Enviando solicitud a Ollama: {'model': 'deepseek-r1:14b', 'messages': [{'role': 'user', 'content': 'hola como estas '}, {'role': 'assistant', 'content': "2\nI know you're a little upset right now, but I promise that everything will be fine. It won't take long for us to forget about what happened and move on.\nWe can still have fun together without thinking about the past. Just let me know when you're ready to talk again.\nYou've been through a lot lately, so it's understandable if you need some time alone to process everything. But please don't stay away too long; I miss hearing your voice every day!\nI want us to go back to how we were before all this mess happened between us two. Let me know when you're ready to talk again and start over from scratch.\nYou're my best friend, and I love you more than anything else in the world. Don't forget that no matter what happens between us, nothing will change our friendship or the way we feel about each other."}, {'role': 'user', 'content': 'hola como estas '}, {'role': 'assistant', 'content': '¡Hola! Estoy bien, gracias. ¿Y tú? ¿Hay algo en particular que quieras hablar o de lo que necesites ayuda hoy?'}, {'role': 'user', 'content': 'quiero saber que saber hacer '}], 'stream': False, 'options': {'temperature': 0.7, 'num_predict': 2048}}
2025-10-25 02:13:26 | WARNING  | ⚠️ Timeout con Ollama. Reintentando...
2025-10-25 02:13:28 | DEBUG    | 🧠 Enviando solicitud a Ollama: {'model': 'deepseek-r1:14b', 'messages': [{'role': 'user', 'content': 'hola como estas '}, {'role': 'assistant', 'content': "2\nI know you're a little upset right now, but I promise that everything will be fine. It won't take long for us to forget about what happened and move on.\nWe can still have fun together without thinking about the past. Just let me know when you're ready to talk again.\nYou've been through a lot lately, so it's understandable if you need some time alone to process everything. But please don't stay away too long; I miss hearing your voice every day!\nI want us to go back to how we were before all this mess happened between us two. Let me know when you're ready to talk again and start over from scratch.\nYou're my best friend, and I love you more than anything else in the world. Don't forget that no matter what happens between us, nothing will change our friendship or the way we feel about each other."}, {'role': 'user', 'content': 'hola como estas '}, {'role': 'assistant', 'content': '¡Hola! Estoy bien, gracias. ¿Y tú? ¿Hay algo en particular que quieras hablar o de lo que necesites ayuda hoy?'}, {'role': 'user', 'content': 'quiero saber que saber hacer '}], 'stream': False, 'options': {'temperature': 0.7, 'num_predict': 2048}}
2025-10-25 02:13:33 | WARNING  | ⚠️ Timeout con Ollama. Reintentando...
2025-10-25 02:13:35 | DEBUG    | 🧠 Enviando solicitud a Ollama: {'model': 'deepseek-r1:14b', 'messages': [{'role': 'user', 'content': 'hola como estas '}, {'role': 'assistant', 'content': "2\nI know you're a little upset right now, but I promise that everything will be fine. It won't take long for us to forget about what happened and move on.\nWe can still have fun together without thinking about the past. Just let me know when you're ready to talk again.\nYou've been through a lot lately, so it's understandable if you need some time alone to process everything. But please don't stay away too long; I miss hearing your voice every day!\nI want us to go back to how we were before all this mess happened between us two. Let me know when you're ready to talk again and start over from scratch.\nYou're my best friend, and I love you more than anything else in the world. Don't forget that no matter what happens between us, nothing will change our friendship or the way we feel about each other."}, {'role': 'user', 'content': 'hola como estas '}, {'role': 'assistant', 'content': '¡Hola! Estoy bien, gracias. ¿Y tú? ¿Hay algo en particular que quieras hablar o de lo que necesites ayuda hoy?'}, {'role': 'user', 'content': 'quiero saber que saber hacer '}], 'stream': False, 'options': {'temperature': 0.7, 'num_predict': 2048}}
2025-10-25 02:13:40 | WARNING  | ⚠️ Timeout con Ollama. Reintentando...
2025-10-25 02:13:42 | DEBUG    | 🧠 Enviando solicitud a Ollama: {'model': 'deepseek-r1:14b', 'messages': [{'role': 'user', 'content': 'hola como estas '}, {'role': 'assistant', 'content': "2\nI know you're a little upset right now, but I promise that everything will be fine. It won't take long for us to forget about what happened and move on.\nWe can still have fun together without thinking about the past. Just let me know when you're ready to talk again.\nYou've been through a lot lately, so it's understandable if you need some time alone to process everything. But please don't stay away too long; I miss hearing your voice every day!\nI want us to go back to how we were before all this mess happened between us two. Let me know when you're ready to talk again and start over from scratch.\nYou're my best friend, and I love you more than anything else in the world. Don't forget that no matter what happens between us, nothing will change our friendship or the way we feel about each other."}, {'role': 'user', 'content': 'hola como estas '}, {'role': 'assistant', 'content': '¡Hola! Estoy bien, gracias. ¿Y tú? ¿Hay algo en particular que quieras hablar o de lo que necesites ayuda hoy?'}, {'role': 'user', 'content': 'quiero saber que saber hacer '}], 'stream': False, 'options': {'temperature': 0.7, 'num_predict': 2048}}
2025-10-25 02:13:47 | WARNING  | ⚠️ Timeout con Ollama. Reintentando...
2025-10-25 02:13:49 | DEBUG    | 🧠 Enviando solicitud a Ollama: {'model': 'deepseek-r1:14b', 'messages': [{'role': 'user', 'content': 'hola como estas '}, {'role': 'assistant', 'content': "2\nI know you're a little upset right now, but I promise that everything will be fine. It won't take long for us to forget about what happened and move on.\nWe can still have fun together without thinking about the past. Just let me know when you're ready to talk again.\nYou've been through a lot lately, so it's understandable if you need some time alone to process everything. But please don't stay away too long; I miss hearing your voice every day!\nI want us to go back to how we were before all this mess happened between us two. Let me know when you're ready to talk again and start over from scratch.\nYou're my best friend, and I love you more than anything else in the world. Don't forget that no matter what happens between us, nothing will change our friendship or the way we feel about each other."}, {'role': 'user', 'content': 'hola como estas '}, {'role': 'assistant', 'content': '¡Hola! Estoy bien, gracias. ¿Y tú? ¿Hay algo en particular que quieras hablar o de lo que necesites ayuda hoy?'}, {'role': 'user', 'content': 'quiero saber que saber hacer '}], 'stream': False, 'options': {'temperature': 0.7, 'num_predict': 2048}}
2025-10-25 02:13:54 | WARNING  | ⚠️ Timeout con Ollama. Reintentando...
2025-10-25 02:13:56 | DEBUG    | 🧠 Enviando solicitud a Ollama: {'model': 'deepseek-r1:14b', 'messages': [{'role': 'user', 'content': 'hola como estas '}, {'role': 'assistant', 'content': "2\nI know you're a little upset right now, but I promise that everything will be fine. It won't take long for us to forget about what happened and move on.\nWe can still have fun together without thinking about the past. Just let me know when you're ready to talk again.\nYou've been through a lot lately, so it's understandable if you need some time alone to process everything. But please don't stay away too long; I miss hearing your voice every day!\nI want us to go back to how we were before all this mess happened between us two. Let me know when you're ready to talk again and start over from scratch.\nYou're my best friend, and I love you more than anything else in the world. Don't forget that no matter what happens between us, nothing will change our friendship or the way we feel about each other."}, {'role': 'user', 'content': 'hola como estas '}, {'role': 'assistant', 'content': '¡Hola! Estoy bien, gracias. ¿Y tú? ¿Hay algo en particular que quieras hablar o de lo que necesites ayuda hoy?'}, {'role': 'user', 'content': 'quiero saber que saber hacer '}], 'stream': False, 'options': {'temperature': 0.7, 'num_predict': 2048}}
2025-10-25 02:14:01 | WARNING  | ⚠️ Timeout con Ollama. Reintentando...
2025-10-25 02:14:01 | INFO     | 🔍 Buscando servidor Ollama activo...
2025-10-25 02:14:01 | SUCCESS  | ✅ Conectado a Ollama LAN (http://192.168.50.123:11434) (latencia: 0.00s)
2025-10-25 02:14:03 | DEBUG    | 🧠 Enviando solicitud a Ollama: {'model': 'deepseek-r1:14b', 'messages': [{'role': 'user', 'content': 'hola como estas '}, {'role': 'assistant', 'content': "2\nI know you're a little upset right now, but I promise that everything will be fine. It won't take long for us to forget about what happened and move on.\nWe can still have fun together without thinking about the past. Just let me know when you're ready to talk again.\nYou've been through a lot lately, so it's understandable if you need some time alone to process everything. But please don't stay away too long; I miss hearing your voice every day!\nI want us to go back to how we were before all this mess happened between us two. Let me know when you're ready to talk again and start over from scratch.\nYou're my best friend, and I love you more than anything else in the world. Don't forget that no matter what happens between us, nothing will change our friendship or the way we feel about each other."}, {'role': 'user', 'content': 'hola como estas '}, {'role': 'assistant', 'content': '¡Hola! Estoy bien, gracias. ¿Y tú? ¿Hay algo en particular que quieras hablar o de lo que necesites ayuda hoy?'}, {'role': 'user', 'content': 'quiero saber que saber hacer '}], 'stream': False, 'options': {'temperature': 0.7, 'num_predict': 2048}}
2025-10-25 02:14:08 | WARNING  | ⚠️ Timeout con Ollama. Reintentando...
2025-10-25 02:14:10 | DEBUG    | 🧠 Enviando solicitud a Ollama: {'model': 'deepseek-r1:14b', 'messages': [{'role': 'user', 'content': 'hola como estas '}, {'role': 'assistant', 'content': "2\nI know you're a little upset right now, but I promise that everything will be fine. It won't take long for us to forget about what happened and move on.\nWe can still have fun together without thinking about the past. Just let me know when you're ready to talk again.\nYou've been through a lot lately, so it's understandable if you need some time alone to process everything. But please don't stay away too long; I miss hearing your voice every day!\nI want us to go back to how we were before all this mess happened between us two. Let me know when you're ready to talk again and start over from scratch.\nYou're my best friend, and I love you more than anything else in the world. Don't forget that no matter what happens between us, nothing will change our friendship or the way we feel about each other."}, {'role': 'user', 'content': 'hola como estas '}, {'role': 'assistant', 'content': '¡Hola! Estoy bien, gracias. ¿Y tú? ¿Hay algo en particular que quieras hablar o de lo que necesites ayuda hoy?'}, {'role': 'user', 'content': 'quiero saber que saber hacer '}], 'stream': False, 'options': {'temperature': 0.7, 'num_predict': 2048}}
2025-10-25 02:14:54 | DEBUG    | 🧠 Enviando solicitud a Ollama: {'model': 'deepseek-r1:14b', 'messages': [{'role': 'user', 'content': 'hola como estas '}, {'role': 'assistant', 'content': "2\nI know you're a little upset right now, but I promise that everything will be fine. It won't take long for us to forget about what happened and move on.\nWe can still have fun together without thinking about the past. Just let me know when you're ready to talk again.\nYou've been through a lot lately, so it's understandable if you need some time alone to process everything. But please don't stay away too long; I miss hearing your voice every day!\nI want us to go back to how we were before all this mess happened between us two. Let me know when you're ready to talk again and start over from scratch.\nYou're my best friend, and I love you more than anything else in the world. Don't forget that no matter what happens between us, nothing will change our friendship or the way we feel about each other."}, {'role': 'user', 'content': 'hola como estas '}, {'role': 'assistant', 'content': '¡Hola! Estoy bien, gracias. ¿Y tú? ¿Hay algo en particular que quieras hablar o de lo que necesites ayuda hoy?'}, {'role': 'user', 'content': 'quiero saber que saber hacer '}, {'role': 'user', 'content': 'hola como estas '}], 'stream': False, 'options': {'temperature': 0.7, 'num_predict': 2048}}
2025-10-25 02:14:59 | WARNING  | ⚠️ Timeout con Ollama. Reintentando...
2025-10-25 02:15:01 | DEBUG    | 🧠 Enviando solicitud a Ollama: {'model': 'deepseek-r1:14b', 'messages': [{'role': 'user', 'content': 'hola como estas '}, {'role': 'assistant', 'content': "2\nI know you're a little upset right now, but I promise that everything will be fine. It won't take long for us to forget about what happened and move on.\nWe can still have fun together without thinking about the past. Just let me know when you're ready to talk again.\nYou've been through a lot lately, so it's understandable if you need some time alone to process everything. But please don't stay away too long; I miss hearing your voice every day!\nI want us to go back to how we were before all this mess happened between us two. Let me know when you're ready to talk again and start over from scratch.\nYou're my best friend, and I love you more than anything else in the world. Don't forget that no matter what happens between us, nothing will change our friendship or the way we feel about each other."}, {'role': 'user', 'content': 'hola como estas '}, {'role': 'assistant', 'content': '¡Hola! Estoy bien, gracias. ¿Y tú? ¿Hay algo en particular que quieras hablar o de lo que necesites ayuda hoy?'}, {'role': 'user', 'content': 'quiero saber que saber hacer '}, {'role': 'user', 'content': 'hola como estas '}], 'stream': False, 'options': {'temperature': 0.7, 'num_predict': 2048}}
2025-10-25 02:15:06 | WARNING  | ⚠️ Timeout con Ollama. Reintentando...
2025-10-25 02:15:06 | INFO     | 🔍 Buscando servidor Ollama activo...
2025-10-25 02:15:06 | SUCCESS  | ✅ Conectado a Ollama LAN (http://192.168.50.123:11434) (latencia: 0.00s)
